topic,topic_distribution
66,"{'estimate': np.float64(0.6470341692242693), 'forecast': np.float64(0.5731621524446114), 'outlook': np.float64(0.29009181044540616), 'prevent': np.float64(0.22470860270027632), 'assume': np.float64(0.14693022458300556), 'upcoming': np.float64(0.14595540907608145), 'avoid': np.float64(0.12398319411910548), 'projected': np.float64(0.11932873138258959), 'estimated': np.float64(0.10341236954323117), 'expects': np.float64(0.09309959758410154), 'prepare': np.float64(0.08018892069269162), 'probable': np.float64(0.06561932000851947), 'proactively': np.float64(0.05979443835843797), 'awaiting': np.float64(0.05744605988331879), 'foreseeable': np.float64(0.04477639193306607), 'expect': np.float64(0.04397469690302949), 'forecasting': np.float64(0.03770957034727278), 'expectancy': np.float64(0.025491434254389732), 'prospective': np.float64(0.025461186501612082), 'foreseen': np.float64(0.025442729989753794), 'impending': np.float64(0.025442729989753794), 'predicted': np.float64(0.018651534811883856), 'prediction': np.float64(0.012572788100740378), 'imminent': np.float64(0.009236658466616183), 'estimating': np.float64(0.006560599903811196), 'anticipate': np.float64(0.0065362641284897926), 'react': np.float64(0.006109068046441522), 'predictive': np.float64(0.003078886155538728), 'presumption': np.float64(0.003078886155538728), 'suspected': np.float64(0.003078886155538728), 'underpredict': np.float64(0.003078886155538728), 'predictable': np.float64(0.0017582443355377386), 'expec': np.float64(5.130769549307226e-05), 'expecting': np.float64(1.8456511858282546e-05)}"
67,"{'equity': np.float64(0.745566241125967), 'counterparty': np.float64(0.482849545444478), 'regulation': np.float64(0.38521002460711706), 'tax': np.float64(0.18668804671387124), 'law': np.float64(0.12631593035574867), 'jurisdiction': np.float64(0.06277393362935015), 'cftc': np.float64(0.059257990447573676), 'litigation': np.float64(0.05291932869152125), 'controlling': np.float64(0.022371591358985695), 'countermeasure': np.float64(0.017814296272510837), 'representation': np.float64(0.01718437879138905), 'bribery': np.float64(0.010125314224337809), 'embargo': np.float64(0.00822759478358913), 'taxation': np.float64(0.007767416395662148), 'attorney': np.float64(0.007282857554523196), 'competition': np.float64(0.006560351197382709), 'strictly': np.float64(0.00649689161163131), 'competitor': np.float64(0.005417696923803622), 'tariff': np.float64(0.00315952777350125), 'proprietary': np.float64(0.003089809877290398), 'court': np.float64(0.001842481351857424), 'monopoly': np.float64(0.001579763886750625), 'antitrust': np.float64(0.001510045990539883), 'arbitration': np.float64(0.0007859659428918871), 'merger': np.float64(0.0003335466342516264), 'justice': np.float64(0.0002480418185800379), 'trademark': np.float64(0.00015386548820551753), 'competitiveness': np.float64(0.00011871719557129264), 'economics': np.float64(4.561003081653836e-05), 'equitable': np.float64(4.561003081653836e-05), 'illegal': np.float64(2.927269702471948e-05)}"
68,"{'day': np.float64(0.857328328677679), 'way': np.float64(0.35676317740282043), 'upon': np.float64(0.2925523958597703), 'timely': np.float64(0.19784822045563188), 'thing': np.float64(0.06496224056585052), 'immediately': np.float64(0.06220905518662419), 'overnight': np.float64(0.047697931277251734), 'instantaneous': np.float64(0.021200546316109126), 'simultaneously': np.float64(0.018893173732788777), 'continuous': np.float64(0.0186667518433398), 'hereafter': np.float64(0.018237545347548966), 'wherever': np.float64(0.018237545347548966), 'today': np.float64(0.01525329863302326), 'fy': np.float64(0.014244047249309172), 'night': np.float64(0.013679608186516957), 'pm': np.float64(0.009133930518292397), 'meantime': np.float64(0.004878596772695112), 'anywhere': np.float64(0.004748015749769724), 'anytime': np.float64(0.004748015749769655), 'sometimes': np.float64(0.00327463248210907), 'whenever': np.float64(0.0021342378612793944), 'moment': np.float64(0.0009552860790906272), 'everything': np.float64(0.00089768076612675), 'sooner': np.float64(0.00028519604650772355), 'never': np.float64(0.00019054689218851078)}"
69,"{'applies': np.float64(0.553248346083694), 'met': np.float64(0.4944935279426407), 'application': np.float64(0.44636420840463525), 'item': np.float64(0.44116137131148697), 'applying': np.float64(0.22915593443080054), 'ilaap': np.float64(0.027348200548038933), 'applicability': np.float64(0.026091239535606332), 'emapp': np.float64(0.022604971359855664), 'par': np.float64(0.021309878213991364), 'appears': np.float64(0.017860209248501117), 'tap': np.float64(0.016528516892376378), 'ring': np.float64(0.005226031212448545), 'apparel': np.float64(0.001436023798932433), 'appeal': np.float64(0.0004694459573707818), 'appealing': np.float64(0.00020860363331597358), 'equipping': np.float64(0.00015846605965011705)}"
70,"{'approves': np.float64(0.8997483354896885), 'requested': np.float64(0.32204950879459204), 'offered': np.float64(0.22634534900578054), 'complied': np.float64(0.14783957198298303), 'appealed': np.float64(0.110738424097211), 'contacted': np.float64(0.03519468228954441), 'exited': np.float64(0.011253619228645139), 'convinced': np.float64(0.00447017105908825), 'questioned': np.float64(-3.1776145117964043e-19), 'prompted': np.float64(-3.177614512107126e-19)}"
71,"{'given': np.float64(0.7531696336826146), 'secured': np.float64(0.636452741829889), 'placed': np.float64(0.09166122385586857), 'entered': np.float64(0.08193489056018287), 'prepared': np.float64(0.06085069670731886), 'employed': np.float64(0.05806975848302775), 'decided': np.float64(0.04938690336868763), 'chosen': np.float64(0.03130193070883825), 'setup': np.float64(0.025695022984338175), 'appoints': np.float64(0.025270368963197804), 'appointed': np.float64(0.019506573008305272), 'placing': np.float64(0.017843142354757903), 'hired': np.float64(0.0075290205566321605), 'picked': np.float64(0.00035610587130502277)}"
72,"{'approach': np.float64(0.9497663531344579), 'meet': np.float64(0.2566554618516554), 'method': np.float64(0.11643867232454602), 'see': np.float64(0.10521384706871861), 'seek': np.float64(0.07142584219473463), 'arrive': np.float64(0.034820419077431074), 'approximation': np.float64(0.022056996237173453), 'reach': np.float64(0.021674627789297247), 'outreach': np.float64(0.008472501172837302), 'introduce': np.float64(0.008247114773767517), 'think': np.float64(0.0035303119847635714), 'proposes': np.float64(0.002971469428071165), 'orientation': np.float64(0.002692345947385462), 'approximate': np.float64(0.0016685325522561374), 'tackle': np.float64(0.001069573796794281), 'propose': np.float64(0.0007338159672826276), 'get': np.float64(0.0005648920364307916), 'pursues': np.float64(0.0005484481434604467), 'trying': np.float64(0.0002791234806857044), 'proceed': np.float64(0.0001153931290024143)}"
73,"{'december': np.float64(0.8415001320019354), 'dec': np.float64(0.47127671814912714), 'may': np.float64(0.21539589546947263), 'nd': np.float64(0.0803617419784031), 'june': np.float64(0.06679751599643234), 'beginning': np.float64(0.06465760722259611), 'september': np.float64(0.048036369165780836), 'january': np.float64(0.04608148170768214), 'april': np.float64(0.03548315407491275), 'february': np.float64(0.030418730444576703), 'march': np.float64(0.026775832846559218), 'rd': np.float64(0.015299469501092856), 'october': np.float64(0.014358200949505517), 'july': np.float64(0.012344547802626928), 'november': np.float64(0.012098372400638786), 'august': np.float64(0.011821999838883036), 'spr': np.float64(0.004088534204712212), 'calendar': np.float64(0.004002624829608315), 'th': np.float64(0.003738797215899207), 'friday': np.float64(0.0037362882749920195), 'auspex': np.float64(0.0027293803974658987), 'preliminary': np.float64(0.0007989384696669137), 'begin': np.float64(0.0001720187161425948), 'prv': np.float64(0.0001683722539919761), 'axel': np.float64(3.9749357366786e-05)}"
74,"{'russian': np.float64(0.9816602283167012), 'graph': np.float64(0.14622395647948244), 'spanish': np.float64(0.09860194518815717), 'stripe': np.float64(0.062488191724962235), 'cadence': np.float64(0.03403254859794226), 'arabesque': np.float64(0.012744983474207805), 'sar': np.float64(0.0016918122368671693), 'architecture': np.float64(0.0016689004127718014), 'emirate': np.float64(0.0016689004127717932), 'bar': np.float64(0.001666029145896853), 'square': np.float64(0.0016660291458968448), 'rachou': np.float64(5.732804294825552e-06), 'drawing': np.float64(-1.1650414686354792e-17), 'arranging': np.float64(-1.0561424528977171e-16), 'dream': np.float64(-1.7456654502567348e-16)}"
75,"{'provide': np.float64(0.5614371621180331), 'emerging': np.float64(0.4859858879816842), 'arising': np.float64(0.4750192616634685), 'arises': np.float64(0.2902717345226027), 'originated': np.float64(0.1865340615984737), 'resulted': np.float64(0.17265011269622674), 'occur': np.float64(0.16577069304921527), 'arise': np.float64(0.13794545469681008), 'raise': np.float64(0.08572825345206649), 'develop': np.float64(0.07863723761781433), 'produce': np.float64(0.057369921198714965), 'rise': np.float64(0.04621878388979262), 'originating': np.float64(0.04000573057606228), 'originates': np.float64(0.036523267121779314), 'materialize': np.float64(0.034517414755791787), 'occurs': np.float64(0.029112139506834646), 'raised': np.float64(0.02714526703375995), 'occurrence': np.float64(0.025396162083948546), 'emergence': np.float64(0.02271324875060346), 'originate': np.float64(0.020664691897936932), 'derives': np.float64(0.020325421223816167), 'evolve': np.float64(0.019608326001957468), 'grow': np.float64(0.019016564976576618), 'emerge': np.float64(0.0090387797354118), 'resurgence': np.float64(0.006277500759587665), 'materializes': np.float64(0.004731470186011611), 'surge': np.float64(0.004512198666843335), 'diverge': np.float64(0.002815815869632571), 'incur': np.float64(0.0016510301303411994), 'thrive': np.float64(0.00045230267340002814), 'flourish': np.float64(0.00039100577106587845), 'reopen': np.float64(0.00035020295706548023), 'emerged': np.float64(0.0002956660632570419), 'outbreak': np.float64(0.0002956660632570419)}"
76,"{'manner': np.float64(0.845608491121478), 'cure': np.float64(0.342717025089088), 'orderly': np.float64(0.3410633055222197), 'remediate': np.float64(0.11619547800115049), 'lesser': np.float64(0.0979352196824189), 'comment': np.float64(0.09011889433896504), 'reconciled': np.float64(0.09011889433896504), 'flattener': np.float64(0.06924320192773432), 'overhaul': np.float64(0.06593576279399782), 'restructure': np.float64(0.04368534867953748), 'arranger': np.float64(0.019452488855624707), 'tune': np.float64(0.019412271833640464), 'settle': np.float64(0.003307439133736471), 'loosen': np.float64(0.0021532042174413437), 'refine': np.float64(0.0021532042174413437), 'harmonize': np.float64(0.0016537195668682354), 'organize': np.float64(0.0016537195668682354), 'utilise': np.float64(0.00023973255034997226), 'optimise': np.float64(0.00020331760499769566), 'sorted': np.float64(0.00020247777483470376), 'devise': np.float64(4.0217021984344126e-05), 'tailor': np.float64(4.0217021984344126e-05), 'simplify': np.float64(4.203487096807057e-07), 'stabilise': np.float64(4.203487096807057e-07), 'harmonise': np.float64(4.194814533111559e-07)}"
77,"{'specific': np.float64(0.5191736232036852), 'subject': np.float64(0.4677093137628373), 'section': np.float64(0.3845275758291552), 'material': np.float64(0.3507923041690432), 'part': np.float64(0.27500155742886845), 'component': np.float64(0.22054614279088147), 'article': np.float64(0.18345323354080226), 'matter': np.float64(0.1743331283014041), 'structure': np.float64(0.10875624448263221), 'procedure': np.float64(0.09683676562758088), 'issue': np.float64(0.09195922826005373), 'element': np.float64(0.0829151868841262), 'published': np.float64(0.0722104916886708), 'example': np.float64(0.057997738790980184), 'topic': np.float64(0.05332669035806218), 'reference': np.float64(0.052854755757839475), 'document': np.float64(0.03478729708322446), 'publication': np.float64(0.019386978461054753), 'partial': np.float64(0.0085547845048805), 'content': np.float64(0.006429867047561166), 'journal': np.float64(0.00443114798842887), 'episode': np.float64(0.0014512338301284286), 'news': np.float64(0.0014178918091522638), 'ingredient': np.float64(0.00010085287451790026), 'mention': np.float64(3.7519040522885263e-05)}"
78,"{'clear': np.float64(0.6262628342496328), 'communicated': np.float64(0.4370110859629561), 'clearly': np.float64(0.3073770417089026), 'demonstrate': np.float64(0.2716655390969515), 'express': np.float64(0.22825305425522302), 'describes': np.float64(0.2118966055189587), 'expressed': np.float64(0.16301769002626015), 'communicate': np.float64(0.15157976722834832), 'specify': np.float64(0.14981296040294714), 'distinguish': np.float64(0.13934475564302334), 'describing': np.float64(0.1231058795174188), 'specifying': np.float64(0.10904761934463429), 'disclose': np.float64(0.07858865265801714), 'clarity': np.float64(0.07841439261899373), 'articulated': np.float64(0.07490648020147357), 'concise': np.float64(0.07490648020147357), 'outlining': np.float64(0.06025318791121783), 'explain': np.float64(0.040765341058312914), 'articulate': np.float64(0.03414113914316079), 'pronounced': np.float64(0.03414113914316068), 'speak': np.float64(0.023886577095163123), 'explains': np.float64(0.020787598700396478), 'formalized': np.float64(0.020787598700396478), 'speech': np.float64(0.01997774235791644), 'phrased': np.float64(0.005958723348385287), 'say': np.float64(0.004396316336913363), 'coherently': np.float64(0.002795066371164279), 'speaks': np.float64(0.0019931151341881516), 'stipulate': np.float64(0.0017668068254010798), 'communicating': np.float64(0.0010483455782617224)}"
79,"{'synthetic': np.float64(0.8519296312887471), 'technological': np.float64(0.3285166244096044), 'artificial': np.float64(0.26501563639438985), 'tangible': np.float64(0.18622384062389888), 'realistic': np.float64(0.13050954593295347), 'machine': np.float64(0.10826743642564217), 'built': np.float64(0.10636691774879849), 'construct': np.float64(0.0934755048522621), 'automate': np.float64(0.07229334486346485), 'virtual': np.float64(0.06507420093429807), 'intelligent': np.float64(0.034872991856638426), 'technically': np.float64(0.031110608040913063), 'composite': np.float64(0.026218224379616597), 'automating': np.float64(0.01240846260351957), 'simulated': np.float64(0.007083449633999935), 'forced': np.float64(0.003313442789172434), 'fake': np.float64(0.0028160982780836875), 'inventive': np.float64(0.0028160982780836875), 'instrumental': np.float64(0.002508914691435945), 'augmented': np.float64(0.001467003722859303), 'inorganic': np.float64(0.001467003722859303), 'naturally': np.float64(-1.9770139992216058e-17)}"
